players,games,wins,win_rate,ci_low,ci_high
Lou楼louy#22286、山本不在此#23824、玩个肉混一混#47672、我不食蒸鱼饭#48075、Elves丶偏执狂#53171,4,4,1.0,0.5101091635454027,1.0
哑巴狮子#44403、山本不在此#23824、玩个肉混一混#47672、我不食蒸鱼饭#48075、Elves丶偏执狂#53171,2,2,1.0,0.34238022750665303,1.0
哑巴狮子#44403、Lou楼louy#22286、三角洲威龙#44564、山本不在此#23824、玩个肉混一混#47672,1,1,1.0,0.20654931437723745,1.0
小鸡脚黑子#56191、Lou楼louy#22286、祈山鹤#14781、三角洲威龙#44564、山本不在此#23824,8,6,0.75,0.40927543031016883,0.9285207872478909
小鸡脚黑子#56191、哑巴狮子#44403、祈山鹤#14781、山本不在此#23824、Elves丶偏执狂#53171,4,3,0.75,0.30064184258240184,0.9544127391902995
Lou楼louy#22286、祈山鹤#14781、山本不在此#23824、玩个肉混一混#47672、Elves丶偏执狂#53171,6,4,0.6666666666666666,0.299993315138392,0.9032285888942195
哑巴狮子#44403、祈山鹤#14781、三角洲威龙#44564、山本不在此#23824、玩个肉混一混#47672,6,4,0.6666666666666666,0.299993315138392,0.9032285888942195
小鸡脚黑子#56191、Lou楼louy#22286、三角洲威龙#44564、山本不在此#23824、玩个肉混一混#47672,16,10,0.625,0.38641040545502714,0.8151876744113636
哑巴狮子#44403、三角洲威龙#44564、山本不在此#23824、玩个肉混一混#47672、Elves丶偏执狂#53171,8,5,0.625,0.30574239460262737,0.8631557141764026
小鸡脚黑子#56191、Lou楼louy#22286、祈山鹤#14781、三角洲威龙#44564、玩个肉混一混#47672,5,3,0.6,0.2307242812760128,0.882379225767352
哑巴狮子#44403、Lou楼louy#22286、山本不在此#23824、玩个肉混一混#47672、Elves丶偏执狂#53171,22,12,0.5454545454545454,0.3465979532073494,0.7307970581918668
小鸡脚黑子#56191、祈山鹤#14781、三角洲威龙#44564、山本不在此#23824、玩个肉混一混#47672,11,6,0.5454545454545454,0.280091537409322,0.7872872837754024
哑巴狮子#44403、祈山鹤#14781、山本不在此#23824、玩个肉混一混#47672、Elves丶偏执狂#53171,2,1,0.5,0.09453120573423074,0.9054687942657693
哑巴狮子#44403、祈山鹤#14781、山本不在此#23824、玩个肉混一混#47672、我不食蒸鱼饭#48075,2,1,0.5,0.09453120573423074,0.9054687942657693
小鸡脚黑子#56191、哑巴狮子#44403、Lou楼louy#22286、山本不在此#23824、玩个肉混一混#47672,2,1,0.5,0.09453120573423074,0.9054687942657693
小鸡脚黑子#56191、Lou楼louy#22286、祈山鹤#14781、山本不在此#23824、玩个肉混一混#47672,20,9,0.45,0.2581978582556243,0.6579146575496577
Lou楼louy#22286、祈山鹤#14781、三角洲威龙#44564、山本不在此#23824、玩个肉混一混#47672,29,13,0.4482758620689655,0.28413168023037194,0.6245203678902909
哑巴狮子#44403、Lou楼louy#22286、祈山鹤#14781、山本不在此#23824、玩个肉混一混#47672,40,16,0.4,0.2634832568429192,0.5540410633965381
哑巴狮子#44403、Lou楼louy#22286、祈山鹤#14781、三角洲威龙#44564、山本不在此#23824,18,7,0.3888888888888889,0.2030524657216362,0.613809583977621
祈山鹤#14781、三角洲威龙#44564、山本不在此#23824、玩个肉混一混#47672、Elves丶偏执狂#53171,18,5,0.2777777777777778,0.12499753379553993,0.5087265656029746
Lou楼louy#22286、三角洲威龙#44564、山本不在此#23824、玩个肉混一混#47672、Elves丶偏执狂#53171,6,1,0.16666666666666666,0.030053369748306635,0.5635028221864702
小鸡脚黑子#56191、哑巴狮子#44403、Lou楼louy#22286、三角洲威龙#44564、山本不在此#23824,8,1,0.125,0.02241749145005667,0.4708881822128535
Lou楼louy#22286、祈山鹤#14781、三角洲威龙#44564、山本不在此#23824、Elves丶偏执狂#53171,1,0,0.0,0.0,0.7934506856227626
